state,year,keyword,raw_svi,scaled_svi
US-NE,2016,Common Core,34.833333333333336,6.966666666666668
US-NE,2017,Common Core,21.583333333333332,4.316666666666666
US-NE,2018,Common Core,18.75,3.75
US-NE,2019,Common Core,16.833333333333332,3.3666666666666667
US-NE,2020,Common Core,12.333333333333334,2.466666666666667
US-NE,2021,Common Core,5.916666666666667,1.1833333333333333
US-NE,2022,Common Core,8.5,1.7000000000000002
US-NE,2023,Common Core,5.916666666666667,1.1833333333333333
US-NE,2024,Common Core,5.416666666666667,1.0833333333333335
US-NV,2010,Common Core,1.1666666666666667,0.49
US-NV,2011,Common Core,22.833333333333332,9.59
US-NV,2012,Common Core,39.333333333333336,16.52
US-NV,2013,Common Core,51.583333333333336,21.665
US-NV,2014,Common Core,67.16666666666667,28.21
US-NV,2015,Common Core,59.416666666666664,24.955
US-NV,2016,Common Core,45.0,18.9
US-NV,2017,Common Core,33.333333333333336,14.0
US-NV,2018,Common Core,28.083333333333332,11.795
US-NV,2019,Common Core,26.166666666666668,10.99
US-NV,2020,Common Core,17.166666666666668,7.21
US-NV,2021,Common Core,7.416666666666667,3.115
US-NV,2022,Common Core,11.5,4.83
US-NV,2023,Common Core,11.833333333333334,4.97
US-NV,2024,Common Core,9.916666666666666,4.165
US-NH,2010,Common Core,0.0,0.0
US-NH,2011,Common Core,9.75,5.7524999999999995
US-NH,2012,Common Core,31.75,18.732499999999998
US-NH,2013,Common Core,63.666666666666664,37.56333333333333
US-NH,2014,Common Core,64.66666666666667,38.153333333333336
US-NH,2015,Common Core,56.0,33.04
US-NH,2016,Common Core,36.75,21.682499999999997
US-NH,2017,Common Core,23.583333333333332,13.914166666666665
US-NH,2018,Common Core,20.166666666666668,11.898333333333333
US-NH,2019,Common Core,16.75,9.8825
US-NH,2020,Common Core,12.166666666666666,7.178333333333333
US-NH,2021,Common Core,4.916666666666667,2.9008333333333334
US-NH,2022,Common Core,9.083333333333334,5.359166666666667
US-NH,2023,Common Core,7.5,4.425
US-NH,2024,Common Core,6.75,3.9825
US-NJ,2010,Common Core,1.75,0.8225
US-NJ,2011,Common Core,7.833333333333333,3.681666666666666
US-NJ,2012,Common Core,21.666666666666668,10.183333333333334
US-NJ,2013,Common Core,42.083333333333336,19.779166666666665
US-NJ,2014,Common Core,60.5,28.435
US-NJ,2015,Common Core,51.916666666666664,24.40083333333333
US-NJ,2016,Common Core,36.416666666666664,17.11583333333333
US-NJ,2017,Common Core,24.75,11.632499999999999
US-NJ,2018,Common Core,17.833333333333332,8.381666666666666
US-NJ,2019,Common Core,14.583333333333334,6.854166666666667
US-NJ,2020,Common Core,9.75,4.5825
US-NJ,2021,Common Core,4.166666666666667,1.9583333333333333
US-NJ,2022,Common Core,5.916666666666667,2.7808333333333333
US-NJ,2023,Common Core,5.333333333333333,2.5066666666666664
US-NJ,2024,Common Core,4.5,2.1149999999999998
US-NM,2010,Common Core,0.0,0.0
US-NM,2011,Common Core,4.0,3.0
US-NM,2012,Common Core,37.5,28.125
US-NM,2013,Common Core,58.333333333333336,43.75
US-NM,2014,Common Core,57.166666666666664,42.875
US-NM,2015,Common Core,45.416666666666664,34.0625
US-NM,2016,Common Core,30.916666666666668,23.1875
US-NM,2017,Common Core,26.833333333333332,20.125
US-NM,2018,Common Core,23.5,17.625
US-NM,2019,Common Core,18.666666666666668,14.0
US-NM,2020,Common Core,11.75,8.8125
US-NM,2021,Common Core,5.416666666666667,4.0625
US-NM,2022,Common Core,9.083333333333334,6.8125
US-NM,2023,Common Core,9.0,6.75
US-NM,2024,Common Core,8.75,6.5625
US-NY,2010,Common Core,3.5833333333333335,3.0816666666666666
US-NY,2011,Common Core,11.333333333333334,9.746666666666666
US-NY,2012,Common Core,28.666666666666668,24.653333333333332
US-NY,2013,Common Core,55.166666666666664,47.44333333333333
US-NY,2014,Common Core,64.66666666666667,55.61333333333334
US-NY,2015,Common Core,65.58333333333333,56.401666666666664
US-NY,2016,Common Core,60.666666666666664,52.17333333333333
US-NY,2017,Common Core,51.916666666666664,44.64833333333333
US-NY,2018,Common Core,32.166666666666664,27.66333333333333
US-NY,2019,Common Core,23.333333333333332,20.066666666666666
US-NY,2020,Common Core,14.833333333333334,12.756666666666668
US-NY,2021,Common Core,7.166666666666667,6.163333333333333
US-NY,2022,Common Core,8.75,7.5249999999999995
US-NY,2023,Common Core,6.083333333333333,5.2316666666666665
US-NY,2024,Common Core,4.916666666666667,4.2283333333333335
US-NC,2010,Common Core,1.5833333333333333,1.0133333333333332
US-NC,2011,Common Core,13.0,8.32
US-NC,2012,Common Core,55.416666666666664,35.46666666666667
US-NC,2013,Common Core,71.41666666666667,45.70666666666667
US-NC,2014,Common Core,74.33333333333333,47.57333333333333
US-NC,2015,Common Core,57.166666666666664,36.586666666666666
US-NC,2016,Common Core,39.333333333333336,25.173333333333336
US-NC,2017,Common Core,30.75,19.68
US-NC,2018,Common Core,21.916666666666668,14.026666666666667
US-NC,2019,Common Core,15.25,9.76
US-NC,2020,Common Core,10.0,6.4
US-NC,2021,Common Core,4.333333333333333,2.773333333333333
US-NC,2022,Common Core,6.25,4.0
US-NC,2023,Common Core,6.166666666666667,3.9466666666666668
US-NC,2024,Common Core,5.166666666666667,3.306666666666667
US-ND,2010,Common Core,0.0,0.0
US-ND,2011,Common Core,5.166666666666667,2.376666666666667
US-ND,2012,Common Core,25.833333333333332,11.883333333333333
US-ND,2013,Common Core,57.916666666666664,26.641666666666666
US-ND,2014,Common Core,73.08333333333333,33.61833333333333
US-ND,2015,Common Core,51.583333333333336,23.728333333333335
US-ND,2016,Common Core,28.916666666666668,13.301666666666668
US-ND,2017,Common Core,14.416666666666666,6.631666666666667
US-ND,2018,Common Core,8.75,4.025
US-ND,2019,Common Core,8.0,3.68
US-ND,2020,Common Core,5.916666666666667,2.721666666666667
US-ND,2021,Common Core,0.0,0.0
US-ND,2022,Common Core,3.5,1.61
US-ND,2023,Common Core,0.5833333333333334,0.26833333333333337
US-ND,2024,Common Core,0.0,0.0
US-OH,2010,Common Core,1.5,0.72
US-OH,2011,Common Core,6.666666666666667,3.2
US-OH,2012,Common Core,26.333333333333332,12.639999999999999
US-OH,2013,Common Core,55.333333333333336,26.56
US-OH,2014,Common Core,68.91666666666667,33.08
US-OH,2015,Common Core,53.416666666666664,25.639999999999997
US-OH,2016,Common Core,35.916666666666664,17.24
US-OH,2017,Common Core,24.0,11.52
US-OH,2018,Common Core,17.166666666666668,8.24
US-OH,2019,Common Core,13.5,6.4799999999999995
US-OH,2020,Common Core,8.833333333333334,4.24
