year,state_code,total_events,edu_events,highway_events
2016,USNC,428540,546,0
2016,USND,127395,21,0
2016,USNE,145555,124,0
2016,USNH,198784,121,0
2016,USNJ,329947,233,0
2016,USNM,157666,301,0
2016,USNV,238843,112,0
2016,USNY,1774233,2205,0
2016,USOH,800505,601,0
2016,USOK,210983,422,0
2016,USOR,335969,144,0
2016,USPA,776130,686,0
2016,USPR,19548,17,0
2016,USRI,96075,177,0
2016,USSC,287863,224,0
2016,USSD,99050,182,0
2016,USTN,291258,518,0
2016,USTX,1371382,900,0
2016,USUT,253548,222,0
2016,USVA,473579,510,0
2016,USVT,231028,135,0
2016,USWA,305993,122,0
2016,USWI,382911,191,0
2016,USWV,138441,195,0
2016,USWY,118222,162,0
2017,US,1218476,1620,0
2017,US00,15,0,0
2017,USAK,189360,297,0
2017,USAL,275323,423,0
2017,USAR,202236,276,0
2017,USAZ,364139,297,0
2017,USCA,1831060,1453,0
2017,USCO,386603,716,0
2017,USCT,219976,361,0
2017,USDC,2249987,6590,0
2017,USDE,106841,350,0
2017,USFL,913856,1038,0
2017,USGA,383314,522,0
2017,USHI,194173,246,0
2017,USIA,312012,230,0
2017,USID,143687,146,0
2017,USIL,766975,691,0
2017,USIN,324345,811,0
2017,USKS,227398,265,0
2017,USKY,255493,317,0
2017,USLA,228512,287,0
2017,USMA,585381,777,0
2017,USMD,274634,475,0
2017,USME,219142,439,0
2017,USMH,108,0,0
2017,USMI,393695,1441,0
2017,USMN,270350,225,0
2017,USMO,235093,217,0
2017,USMS,142073,142,0
2017,USMT,158111,197,0
2017,USNC,319985,323,0
2017,USND,88789,84,0
2017,USNE,160769,179,0
2017,USNH,103744,125,0
2017,USNJ,257461,175,0
2017,USNM,128205,607,0
2017,USNV,198798,200,0
2017,USNY,1574772,2597,0
2017,USOH,637718,757,0
2017,USOK,196673,279,0
2017,USOR,287415,305,0
2017,USPA,568740,672,0
2017,USPR,31869,29,0
2017,USRI,85251,122,0
2017,USSC,210678,230,0
2017,USSD,90212,110,0
2017,USTN,271073,487,0
2017,USTX,1281187,861,0
2017,USUT,233146,170,0
2017,USVA,523272,686,0
2017,USVT,135782,188,0
2017,USWA,381684,502,0
2017,USWI,312230,346,0
2017,USWV,140114,338,0
2017,USWY,105960,229,0
2018,US,1090825,1094,0
2018,US00,10,0,0
2018,USAK,161994,44,0
2018,USAL,211545,167,0
2018,USAR,161717,156,0
2018,USAZ,384245,333,0
2018,USCA,1858110,1221,0
2018,USCO,375277,221,0
2018,USCT,228270,296,0
2018,USDC,1959458,3150,0
2018,USDE,102599,143,0
2018,USFL,1000794,1008,0
2018,USGA,369585,411,0
2018,USHI,181253,253,0
2018,USIA,321572,125,0
2018,USID,138343,138,0
2018,USIL,718084,341,0
2018,USIN,306542,366,0
2018,USKS,204556,132,0
2018,USKY,249672,304,0
2018,USLA,206751,214,0
2018,USMA,555192,432,0
2018,USMD,284708,260,0
2018,USME,226589,121,0
2018,USMH,70,0,0
2018,USMI,379318,538,0
2018,USMN,263518,122,0
2018,USMO,247022,101,0
2018,USMS,141676,148,0
2018,USMT,145349,45,0
2018,USNC,328388,169,0
2018,USND,79536,30,0
2018,USNE,130743,78,0
2018,USNH,99114,121,0
2018,USNJ,234778,289,0
2018,USNM,134372,331,0
2018,USNV,153449,105,0
2018,USNY,1482242,1958,0
2018,USOH,619661,442,0
2018,USOK,168011,239,0
2018,USOR,254231,131,0
2018,USPA,588027,533,0
2018,USPR,24390,37,0
2018,USRI,84021,74,0
2018,USSC,212976,301,0
2018,USSD,82358,83,0
2018,USTN,277924,332,0
2018,USTX,1204408,856,0
2018,USUT,202703,88,0
2018,USVA,438290,388,0
2018,USVT,126701,142,0
2018,USWA,352111,118,0
2018,USWI,312623,186,0
2018,USWV,146415,212,0
2018,USWY,103883,91,0
2019,US,976602,972,0
2019,US00,28,0,0
2019,USAK,169422,166,0
2019,USAL,220673,182,0
2019,USAR,120071,168,0
2019,USAZ,309014,363,0
2019,USCA,1584253,882,0
2019,USCO,327250,245,0
2019,USCT,243400,235,0
2019,USDC,1754596,2476,0
2019,USDE,93246,110,0
2019,USFL,849464,644,0
2019,USGA,353847,375,0
2019,USHI,161523,212,0
2019,USIA,360119,172,0
2019,USID,135665,102,0
2019,USIL,706296,485,0
2019,USIN,319807,305,0
2019,USKS,179699,98,0
2019,USKY,256074,308,0
2019,USLA,206430,154,0
2019,USMA,514789,401,0
2019,USMD,244516,262,0
2019,USME,198385,130,0
2019,USMH,87,0,0
2019,USMI,388401,571,0
2019,USMN,275864,203,0
2019,USMO,209431,166,0
2019,USMS,133098,96,0
2019,USMT,130259,107,0
2019,USNC,292949,214,0
2019,USND,67907,29,0
2019,USNE,124483,43,0
2019,USNH,117580,129,0
2019,USNJ,244334,239,0
2019,USNM,123117,293,0
2019,USNV,130499,102,0
2019,USNY,1402973,1600,0
2019,USOH,587046,205,0
2019,USOK,165715,280,0
2019,USOR,240469,127,0
2019,USPA,516905,525,0
2019,USPR,18887,19,0
2019,USRI,73090,120,0
2019,USSC,194001,219,0
2019,USSD,78911,61,0
2019,USTN,231347,384,0
2019,USTX,1195722,573,0
2019,USUT,187349,50,0
2019,USVA,439160,361,0
2019,USVT,124045,97,0
2019,USWA,291109,99,0
2019,USWI,275602,196,0
2019,USWV,114529,382,0
2019,USWY,88670,66,0
2020,US,802940,875,0
2020,US00,9,0,0
2020,USAK,126348,69,0
2020,USAL,166252,177,0
2020,USAR,98432,156,0
2020,USAZ,282614,258,0
2020,USCA,1340179,764,0
2020,USCO,257648,204,0
2020,USCT,209754,450,0
2020,USDC,1365852,2385,0
2020,USDE,111535,139,0
2020,USFL,718288,612,0
2020,USGA,398792,437,0
2020,USHI,113179,203,0
2020,USIA,286832,267,0
2020,USID,123197,95,0
2020,USIL,553673,299,0
2020,USIN,247475,240,0
2020,USKS,142495,132,0
2020,USKY,230952,188,0
2020,USLA,191407,205,0
2020,USMA,417139,465,0
2020,USMD,192700,183,0
2020,USME,170058,190,0
2020,USMH,95,0,0
2020,USMI,411427,368,0
2020,USMN,312208,176,0
2020,USMO,181177,148,0
2020,USMS,102802,102,0
2020,USMT,109130,172,0
2020,USNC,269262,166,0
2020,USND,57641,34,0
2020,USNE,103100,74,0
2020,USNH,108292,186,0
2020,USNJ,208385,273,0
2020,USNM,102585,293,0
2020,USNV,119274,75,0
2020,USNY,1194015,1540,0
2020,USOH,459658,164,0
2020,USOK,148943,365,0
2020,USOR,260659,127,0
2020,USPA,495977,865,0
2020,USPR,11965,15,0
2020,USRI,63507,65,0
2020,USSC,171904,224,0
2020,USSD,77948,112,0
2020,USTN,198804,265,0
2020,USTX,931359,503,0
2020,USUT,168256,81,0
2020,USVA,365776,394,0
2020,USVT,106697,79,0
2020,USWA,255826,113,0
2020,USWI,325636,210,0
2020,USWV,85223,181,0
2020,USWY,86331,128,0
2021,US,721062,868,0
2021,US00,16,0,0
2021,USAK,106661,29,0
2021,USAL,136020,135,0
2021,USAR,115674,111,0
2021,USAZ,266191,289,0
2021,USCA,1103457,669,0
2021,USCO,247951,97,0
2021,USCT,170541,621,0
2021,USDC,1183187,2244,0
2021,USDE,78738,95,0
2021,USFL,655935,1274,0
2021,USGA,342444,324,0
2021,USHI,89544,175,0
2021,USIA,211600,270,0
2021,USID,119050,91,0
2021,USIL,475922,357,0
2021,USIN,194898,215,0
2021,USKS,114667,151,0
2021,USKY,169057,135,0
2021,USLA,172704,161,0
2021,USMA,336063,454,0
2021,USMD,173566,215,0
2021,USME,145680,84,0
2021,USMH,117,0,0
2021,USMI,296888,293,0
2021,USMN,275033,200,0
2021,USMO,166822,113,0
2021,USMS,90836,73,0
2021,USMT,104236,130,0
2021,USNC,222012,203,0
2021,USND,48371,29,0
2021,USNE,90413,102,0
2021,USNH,82948,147,0
2021,USNJ,160304,200,0
2021,USNM,101022,427,0
2021,USNV,82030,30,0
2021,USNY,952662,1395,0
2021,USOH,366585,148,0
2021,USOK,140588,358,0
2021,USOR,190458,137,0
2021,USPA,381377,544,0
2021,USPR,9254,10,0
2021,USRI,55198,74,0
2021,USSC,130836,329,0
2021,USSD,67595,176,0
2021,USTN,171563,334,0
2021,USTX,860843,552,0
2021,USUT,129202,171,0
2021,USVA,345261,488,0
2021,USVT,86673,136,0
2021,USWA,190637,82,0
2021,USWI,253389,130,0
2021,USWV,90712,110,0
2021,USWY,105647,41,0
2022,US,592406,692,0
2022,US00,6,0,0
2022,USAK,84881,35,0
2022,USAL,116501,53,0
2022,USAR,108759,139,0
2022,USAZ,248259,163,0
2022,USCA,984619,620,0
2022,USCO,230364,123,0
2022,USCT,146534,321,0
2022,USDC,906373,2230,0
2022,USDE,63192,79,0
2022,USFL,599289,664,0
2022,USGA,290716,312,0
2022,USHI,77474,100,0
2022,USIA,178537,154,0
2022,USID,120659,98,0
2022,USIL,415779,220,0
2022,USIN,197935,215,0
2022,USKS,98281,83,0
2022,USKY,155768,139,0
2022,USLA,135775,123,0
2022,USMA,277401,277,0
2022,USMD,153444,177,0
2022,USME,120133,87,0
2022,USMH,65,0,0
2022,USMI,248563,292,0
2022,USMN,192009,261,0
2022,USMO,140744,144,0
2022,USMS,87090,75,0
2022,USMT,87617,38,0
2022,USNC,184075,106,0
2022,USND,46338,9,0
2022,USNE,92084,99,0
2022,USNH,76125,168,0
2022,USNJ,119826,226,0
2022,USNM,96546,253,0
2022,USNV,85963,35,0
2022,USNY,842758,1277,0
2022,USOH,295567,135,0
2022,USOK,127739,461,0
2022,USOR,160346,168,0
2022,USPA,331163,347,0
2022,USPR,8601,17,0
2022,USRI,44362,67,0
2022,USSC,114682,154,0
2022,USSD,60130,83,0
2022,USTN,163202,173,0
2022,USTX,793138,532,0
2022,USUT,101848,85,0
2022,USVA,278068,438,0
2022,USVT,80184,92,0
2022,USWA,153312,67,0
2022,USWI,211241,105,0
2022,USWV,79032,125,0
2022,USWY,89035,59,0
2023,US,763970,925,0
2023,US00,4,0,0
2023,USAK,114820,64,0
2023,USAL,152708,211,0
2023,USAR,143381,372,0
2023,USAZ,255660,360,0
2023,USCA,1305447,763,0
2023,USCO,286141,194,0
2023,USCT,122389,248,0
2023,USDC,1139900,2733,0
2023,USDE,85373,91,0
2023,USFL,751798,1176,0
2023,USGA,375014,319,0
2023,USHI,126663,250,0
2023,USIA,236222,189,0
2023,USID,149457,145,0
2023,USIL,470555,253,0
2023,USIN,222158,177,0
2023,USKS,136506,143,0
2023,USKY,171943,97,0
2023,USLA,149380,124,0
2023,USMA,354754,420,0
2023,USMD,173674,221,0
2023,USME,146777,112,0
2023,USMH,52,0,0
2023,USMI,300467,247,0
2023,USMN,209063,119,0
2023,USMO,171387,191,0
2023,USMS,106325,69,0
2023,USMT,120795,104,0
2023,USNC,212608,108,0
2023,USND,55097,25,0
2023,USNE,94567,183,0
2023,USNH,97317,143,0
2023,USNJ,166199,126,0
2023,USNM,105087,192,0
2023,USNV,134011,35,0
2023,USNY,1163527,1395,0
2023,USOH,402883,232,0
2023,USOK,160799,543,0
2023,USOR,170904,127,0
2023,USPA,392630,402,0
2023,USPR,8308,14,0
2023,USRI,49478,82,0
2023,USSC,182921,213,0
2023,USSD,62612,82,0
2023,USTN,207685,243,0
2023,USTX,875085,447,0
2023,USUT,134494,49,0
2023,USVA,309419,404,0
2023,USVT,97990,152,0
2023,USWA,201782,84,0
2023,USWI,194938,108,0
2023,USWV,95335,192,0
2023,USWY,77399,67,0
2024,US,752861,858,0
2024,US00,23,0,0
2024,USAK,131030,117,0
2024,USAL,139888,152,0
2024,USAR,132003,304,0
2024,USAZ,261904,329,0
2024,USCA,1218806,848,0
2024,USCO,277708,105,0
2024,USCT,134180,219,0
2024,USDC,1081011,2545,0
2024,USDE,78652,41,0
2024,USFL,611812,403,0
2024,USGA,386578,356,0
2024,USHI,121687,172,0
2024,USIA,222300,269,0
2024,USID,126767,100,0
2024,USIL,467677,249,0
2024,USIN,205037,324,0
2024,USKS,129475,135,0
2024,USKY,149511,132,0
2024,USLA,146806,202,0
2024,USMA,332597,322,0
2024,USMD,179064,202,0
2024,USME,139397,69,0
2024,USMH,39,0,0
2024,USMI,324110,194,0
2024,USMN,222057,205,0
2024,USMO,168671,275,0
2024,USMS,80525,51,0
2024,USMT,113180,126,0
2024,USNC,231279,211,0
2024,USND,50505,23,0
2024,USNE,96278,88,0
2024,USNH,87442,168,0
2024,USNJ,161558,136,0
2024,USNM,94609,185,0
2024,USNV,132171,49,0
2024,USNY,1137817,1233,0
2024,USOH,401572,169,0
2024,USOK,153088,1275,0
2024,USOR,155172,86,0
2024,USPA,466250,442,0
2024,USPR,8333,7,0
2024,USRI,46379,44,0
2024,USSC,167972,294,0
2024,USSD,68365,105,0
2024,USTN,168340,121,0
2024,USTX,906920,473,0
2024,USUT,133932,93,0
2024,USVA,258646,432,0
2024,USVT,81014,139,0
2024,USWA,206499,52,0
2024,USWI,226694,187,0
2024,USWV,96402,198,0
2024,USWY,73948,47,0
